start
start loop
0 done, 0 embeddings failed
1000 done, 0 embeddings failed
2000 done, 0 embeddings failed
3000 done, 0 embeddings failed
4000 done, 0 embeddings failed
5000 done, 0 embeddings failed
6000 done, 0 embeddings failed
7000 done, 0 embeddings failed
8000 done, 0 embeddings failed
9000 done, 0 embeddings failed
10000 done, 0 embeddings failed
11000 done, 0 embeddings failed
12000 done, 0 embeddings failed
13000 done, 0 embeddings failed
14000 done, 0 embeddings failed
15000 done, 0 embeddings failed
16000 done, 0 embeddings failed
17000 done, 0 embeddings failed
18000 done, 0 embeddings failed
19000 done, 0 embeddings failed
20000 done, 0 embeddings failed
21000 done, 0 embeddings failed
22000 done, 0 embeddings failed
23000 done, 0 embeddings failed
24000 done, 0 embeddings failed
25000 done, 0 embeddings failed
26000 done, 0 embeddings failed
27000 done, 0 embeddings failed
28000 done, 0 embeddings failed
29000 done, 0 embeddings failed
30000 done, 0 embeddings failed
31000 done, 0 embeddings failed
32000 done, 0 embeddings failed
33000 done, 0 embeddings failed
34000 done, 0 embeddings failed
35000 done, 0 embeddings failed
36000 done, 0 embeddings failed
37000 done, 0 embeddings failed
38000 done, 0 embeddings failed
39000 done, 0 embeddings failed
40000 done, 0 embeddings failed
41000 done, 0 embeddings failed
42000 done, 0 embeddings failed
43000 done, 0 embeddings failed
44000 done, 0 embeddings failed
45000 done, 0 embeddings failed
46000 done, 0 embeddings failed
47000 done, 0 embeddings failed
48000 done, 0 embeddings failed
49000 done, 0 embeddings failed
50000 done, 0 embeddings failed
51000 done, 0 embeddings failed
52000 done, 0 embeddings failed
53000 done, 0 embeddings failed
54000 done, 0 embeddings failed
55000 done, 0 embeddings failed
56000 done, 0 embeddings failed
57000 done, 0 embeddings failed
58000 done, 0 embeddings failed
59000 done, 0 embeddings failed
60000 done, 0 embeddings failed
61000 done, 0 embeddings failed
62000 done, 0 embeddings failed
63000 done, 0 embeddings failed
64000 done, 0 embeddings failed
65000 done, 0 embeddings failed
66000 done, 0 embeddings failed
67000 done, 0 embeddings failed
68000 done, 0 embeddings failed
69000 done, 0 embeddings failed
70000 done, 0 embeddings failed
71000 done, 0 embeddings failed
72000 done, 0 embeddings failed
73000 done, 0 embeddings failed
74000 done, 0 embeddings failed
75000 done, 0 embeddings failed
76000 done, 0 embeddings failed
77000 done, 0 embeddings failed
78000 done, 0 embeddings failed
79000 done, 0 embeddings failed
80000 done, 0 embeddings failed
81000 done, 0 embeddings failed
82000 done, 0 embeddings failed
83000 done, 0 embeddings failed
84000 done, 0 embeddings failed
85000 done, 0 embeddings failed
86000 done, 0 embeddings failed
87000 done, 0 embeddings failed
88000 done, 0 embeddings failed
89000 done, 0 embeddings failed
90000 done, 0 embeddings failed
91000 done, 0 embeddings failed
92000 done, 0 embeddings failed
93000 done, 0 embeddings failed
94000 done, 0 embeddings failed
95000 done, 0 embeddings failed
96000 done, 0 embeddings failed
97000 done, 0 embeddings failed
98000 done, 0 embeddings failed
99000 done, 0 embeddings failed
100000 done, 0 embeddings failed
101000 done, 0 embeddings failed
102000 done, 0 embeddings failed
103000 done, 0 embeddings failed
104000 done, 0 embeddings failed
105000 done, 0 embeddings failed
106000 done, 0 embeddings failed
107000 done, 0 embeddings failed
108000 done, 0 embeddings failed
109000 done, 0 embeddings failed
110000 done, 0 embeddings failed
111000 done, 0 embeddings failed
112000 done, 0 embeddings failed
113000 done, 0 embeddings failed
114000 done, 0 embeddings failed
115000 done, 0 embeddings failed
116000 done, 0 embeddings failed
117000 done, 0 embeddings failed
118000 done, 0 embeddings failed
119000 done, 0 embeddings failed
120000 done, 0 embeddings failed
121000 done, 0 embeddings failed
122000 done, 0 embeddings failed
123000 done, 0 embeddings failed
124000 done, 0 embeddings failed
125000 done, 0 embeddings failed
126000 done, 0 embeddings failed
127000 done, 1 embeddings failed
128000 done, 1 embeddings failed
129000 done, 1 embeddings failed
130000 done, 1 embeddings failed
131000 done, 1 embeddings failed
132000 done, 1 embeddings failed
133000 done, 1 embeddings failed
134000 done, 1 embeddings failed
135000 done, 1 embeddings failed
136000 done, 1 embeddings failed
137000 done, 1 embeddings failed
138000 done, 1 embeddings failed
139000 done, 1 embeddings failed
140000 done, 1 embeddings failed
141000 done, 1 embeddings failed
142000 done, 1 embeddings failed
143000 done, 1 embeddings failed
144000 done, 1 embeddings failed
145000 done, 1 embeddings failed
146000 done, 1 embeddings failed
147000 done, 1 embeddings failed
148000 done, 1 embeddings failed
149000 done, 1 embeddings failed
150000 done, 1 embeddings failed
151000 done, 1 embeddings failed
152000 done, 1 embeddings failed
153000 done, 1 embeddings failed
154000 done, 1 embeddings failed
155000 done, 1 embeddings failed
156000 done, 1 embeddings failed
157000 done, 1 embeddings failed
158000 done, 1 embeddings failed
159000 done, 1 embeddings failed
160000 done, 1 embeddings failed
161000 done, 1 embeddings failed
162000 done, 1 embeddings failed
163000 done, 1 embeddings failed
164000 done, 1 embeddings failed
165000 done, 1 embeddings failed
166000 done, 1 embeddings failed
